ticker,outer_fold,model,param,value
AAPL,0,Random Forest,n_estimators,482
AAPL,0,Random Forest,max_depth,3
AAPL,0,Random Forest,min_samples_split,13
AAPL,0,Random Forest,min_samples_leaf,10
AAPL,0,Random Forest,max_features,log2
AAPL,0,XGBoost,n_estimators,329
AAPL,0,XGBoost,max_depth,7
AAPL,0,XGBoost,learning_rate,0.011662449688899625
AAPL,0,XGBoost,subsample,0.6675548426838462
AAPL,0,XGBoost,colsample_bytree,0.9943556574085826
AAPL,0,XGBoost,min_child_weight,10
AAPL,0,XGBoost,gamma,0.031586508603401064
AAPL,0,LightGBM,n_estimators,471
AAPL,0,LightGBM,max_depth,6
AAPL,0,LightGBM,learning_rate,0.0870019148668839
AAPL,0,LightGBM,num_leaves,20
AAPL,0,LightGBM,subsample,0.7144377353773624
AAPL,0,LightGBM,colsample_bytree,0.9191492147481282
AAPL,0,LightGBM,min_child_samples,7
AAPL,0,CatBoost,iterations,84
AAPL,0,CatBoost,depth,6
AAPL,0,CatBoost,learning_rate,0.040163116673351845
AAPL,0,CatBoost,l2_leaf_reg,0.009725928101930138
AAPL,0,CatBoost,subsample,0.9447911777548569
AAPL,1,Random Forest,n_estimators,466
AAPL,1,Random Forest,max_depth,13
AAPL,1,Random Forest,min_samples_split,3
AAPL,1,Random Forest,min_samples_leaf,5
AAPL,1,Random Forest,max_features,sqrt
AAPL,1,XGBoost,n_estimators,180
AAPL,1,XGBoost,max_depth,7
AAPL,1,XGBoost,learning_rate,0.013094535978451808
AAPL,1,XGBoost,subsample,0.6778980974452089
AAPL,1,XGBoost,colsample_bytree,0.835505885721158
AAPL,1,XGBoost,min_child_weight,5
AAPL,1,XGBoost,gamma,3.964010286413183
AAPL,1,LightGBM,n_estimators,383
AAPL,1,LightGBM,max_depth,6
AAPL,1,LightGBM,learning_rate,0.2890182251454044
AAPL,1,LightGBM,num_leaves,15
AAPL,1,LightGBM,subsample,0.6248050692874327
AAPL,1,LightGBM,colsample_bytree,0.9942331653150739
AAPL,1,LightGBM,min_child_samples,41
AAPL,1,CatBoost,iterations,237
AAPL,1,CatBoost,depth,7
AAPL,1,CatBoost,learning_rate,0.15260388390751392
AAPL,1,CatBoost,l2_leaf_reg,2.487126743233468
AAPL,1,CatBoost,subsample,0.7259072789588196
AAPL,2,Random Forest,n_estimators,391
AAPL,2,Random Forest,max_depth,5
AAPL,2,Random Forest,min_samples_split,7
AAPL,2,Random Forest,min_samples_leaf,9
AAPL,2,Random Forest,max_features,
AAPL,2,XGBoost,n_estimators,85
AAPL,2,XGBoost,max_depth,4
AAPL,2,XGBoost,learning_rate,0.022845622199340748
AAPL,2,XGBoost,subsample,0.9705240061226781
